"id","label","layer","maturity","traditions","domains","lifespan_stages","functions","grain_size","summary","mechanism","task_types","contexts","prerequisites","constraints","risks","observable_evidence","evidence_status","evidence_confidence","evidence_basis","directness","generalizability","effect","recommendation_status","recommendation_rationale","source_ids","source_locators","tags","provenance"
"pedagogy:rubrics-and-exemplars","Rubrics and exemplars","tactic","established","psychometric | instructional-design","assessment-measurement | literacy | general","primary | middle | secondary | postsecondary | adult-workplace","assess | feedback | explain","lesson","Rubrics can improve scoring consistency and, when shared with learners alongside exemplars, make quality criteria usable rather than merely stated.","Explicit criteria and concrete exemplars convert tacit quality standards into something a learner can compare their own work against.","performance assessment | criteria communication | scoring consistency","classroom | higher education | professional assessment","Criteria that describe quality rather than compliance | Exemplars at different levels | Scorer training for consistency","Reliability requires topic-specific rubrics and training, not generic ones | Rubrics can drive formulaic work if criteria are procedural | Validity is not established by reliability","Checklist-style criteria producing checklist-style work | Assuming shared rubrics are understood without exemplars | High reliability on an invalid construct","Scoring agreement and learner use; measure=Inter-rater agreement plus evidence learners used criteria during revision; timing=At scoring and during revision; caveat=Consistent scoring of the wrong construct is still wrong","strong","moderate","Systematic review shows rubrics can improve scoring reliability, with topic-specific rubrics and training as the key conditions; validity evidence is weaker.","direct-intervention","Performance assessment across levels.","","contextual-option","Pair rubrics with exemplars, keep criteria about quality not compliance, and treat reliability as necessary but not sufficient.","source:jonsson-rubrics | source:testing-standards | source:panadero-self-assessment","","tactic | assessment | feedback | validity","new"
"pedagogy:schema-based-word-problems","Schema-based instruction for word problems","tactic","established","cognitive | instructional-design","mathematics | special-education","primary | middle","explain | practice | transfer","lesson","Teaching learners to recognize the underlying problem structure of word problems, rather than keyword cues, improves solution accuracy and transfer.","Mapping a problem onto a schema makes the quantitative relations explicit, replacing surface keyword strategies that fail on novel wording.","word problem solving | proportional reasoning | intervention for struggling learners","classroom | intervention | tutoring","Explicit schema diagrams or representations | Practice across varied surface wording | Adequate computation skill or support","Effects are best evidenced for specific schema families | Schema diagrams must be linked to quantity, not used as decoration | Keyword strategies must be actively unlearned","Diagram completion becoming the task | Teaching too many schemas at once | Keyword shortcuts persisting under time pressure","Structure recognition on novel wording; measure=Problems with unfamiliar surface features and misleading keywords; timing=After instruction and at delay; caveat=Success on practised wording says nothing about schema recognition","strong","moderate","Randomized classroom studies plus evidence-rated practice-guide recommendations on systematic instruction and representations.","direct-intervention","Primary and middle grades, including learners with mathematics difficulties.","","candidate-default-with-fit-check","Strong option for word problems; test with misleading keywords to verify structure recognition.","source:jitendra-schema | source:math-intervention-wwc | source:adding-it-up","source:math-intervention-wwc: Recommendations on systematic instruction and on using visual representations (strong and moderate evidence respectively)","tactic | mathematics | transfer | intervention","new"
"pedagogy:schema-knowledge-organization","Schema and knowledge organization","theory","established","cognitive","general","cross-lifespan","explain | transfer | diagnose","unit-course","Expertise is largely organized domain knowledge; experts perceive problems by deep structure while novices perceive surface features.","Repeated meaningful encounters build connected structures that chunk information, guide attention to relevant features, and free working memory for reasoning.","problem categorization | concept learning | expertise development","curriculum design | diagnostic assessment | instructional materials","A domain with recurring deep structure | Multiple varied encounters","Knowledge organization is domain-specific and does not generalize as a skill | Building structure takes extended time | Fluent recall is not the same as organized understanding","Teaching 'thinking skills' detached from content | Assuming a learner expert in one topic is expert nearby | Grading surface fluency as structural understanding","Deep-structure sorting; measure=Category sorting tasks, explanation quality, and novel-problem success; timing=After sustained instruction; caveat=Sorting can be trained superficially without understanding","strong","high","Convergent classic and consensus evidence on expert-novice knowledge organization synthesized in national consensus reports.","mixed-direct-and-inferential","Robust across domains studied; the content of the structure is domain-specific.","","candidate-default-with-fit-check","Design for organized knowledge, and diagnose by deep structure rather than by answer correctness alone.","source:hpl1 | source:hpl2 | source:kli-framework","","theory | knowledge | expertise | transfer","new"
"pedagogy:science-argumentation","Argumentation in science instruction","method","consolidating","constructivist | sociocultural","science","primary | middle | secondary | postsecondary","explain | collaborate | assess","unit-course","Structured argumentation from evidence develops both science content understanding and epistemic practice, but requires explicit teaching of argument structure.","Making claims, evidence, and reasoning explicit forces learners to coordinate theory and data rather than to report results.","scientific reasoning | data interpretation | discussion","classroom | laboratory | small group","Explicit instruction in argument structure | Data or phenomena with genuine interpretive space | Norms permitting disagreement","Argumentation does not emerge spontaneously from group work | Teacher facilitation skill is the limiting factor | It takes substantial time that content coverage competes for","Debate without evidence discipline | Louder learners dominating | Assessing participation instead of argument quality","Argument quality; measure=Coded written or oral arguments for claim, evidence, and reasoning quality; timing=Across the unit; caveat=Talk quantity is not argument quality","context-dependent","moderate","Classroom intervention research plus alignment with national science framework practices; effects depend heavily on teacher preparation.","direct-intervention","Science classrooms; teacher-professional-development dependent.","","contextual-option","Teach argument structure explicitly and assess argument quality, not participation.","source:osborne-argumentation | source:science-framework | source:furtak-inquiry","","method | science | argumentation | reasoning","new"
"pedagogy:science-three-dimensional","Three-dimensional science learning","framework","consolidating","constructivist | instructional-design","science","primary | middle | secondary","sequence | explain","program-system","Integrate disciplinary core ideas, crosscutting concepts, and scientific or engineering practices around phenomena and problems.","Using ideas in modeling, investigation, data analysis, explanation, and argument makes scientific knowledge coherent, revisable, and connected across contexts.","scientific explanation | modeling | investigation | engineering design","K-12 science curriculum | assessment | informal science","Coherent grade-band progression | Sufficient core knowledge | Access to phenomena or data | Norms for evidence and critique","Depth over disconnected breadth | Integrate practices with concepts rather than activity alone","Unguided discovery | Activity-only inquiry | Polished model accepted without evidence or revision trace | Treating a consensus framework as one causal intervention","Evidence-based model or explanation revision; measure=Model adequacy, data interpretation, claim-evidence-reasoning, argument response, and cross-context application; timing=Across investigation and after anomalous evidence; caveat=Framework alignment is not itself proof of effectiveness","context-dependent","high","Authoritative National Research Council consensus framework grounded in learning research; enactment effects vary.","consensus-design","K-12 science and engineering; this is a normative curricular framework, not an effect estimate.","","contextual-option","Use as a domain design framework with explicit knowledge scaffolds and evidence-producing practices.","source:science-framework | source:hpl2","","science | inquiry | modeling | argumentation","inherited"
"pedagogy:screen-media-young-children","Screen media exposure in early childhood","construct","consolidating","developmental","general | digital-environments","infancy-toddler | preschool","access | climate","program-system","Higher screen time in early childhood is associated with poorer performance on developmental screening measures; content, co-viewing, and displaced activities matter more than raw hours.","Screen time can displace interaction, language exposure, sleep, and physical activity; effects depend on what it replaces and on whether an adult participates.","family guidance | product design for young children | screening interpretation","home partnership | childcare | product design","Distinguishing content type and co-viewing from total duration","Evidence is observational with residual confounding | Effect sizes are small and directionality is debated | Total-hours framing obscures the displacement mechanism","Blanket time limits as the only guidance | Ignoring differences between interactive, co-viewed, and passive use | Moral framing of families' media choices","Displacement, not just duration; measure=Time-use records of what screens replaced plus developmental screening; timing=Across early childhood; caveat=Duration alone is a weak predictor without content and context","context-dependent","moderate","Longitudinal cohort evidence of an association with developmental screening outcomes; observational design limits causal inference.","mixed-direct-and-inferential","Early childhood cohorts; small effects.","","contextual-option","Advise on content, co-use, and what is displaced rather than issuing an hours rule; state the observational limits.","source:madigan-screen-time | source:hpl2","","construct | early-childhood | digital | risk","new"
"pedagogy:self-assessment","Self-assessment as a formative process","tactic","established","cognitive | psychometric","general | assessment-measurement","primary | middle | secondary | postsecondary | adult-workplace","self-regulate | assess | feedback","micro-move","Self-assessment against explicit criteria improves self-regulated learning and performance when it is formative rather than a summative self-grade.","Comparing one's work against criteria develops monitoring and identifies the specific gap to act on, which is the core of self-regulation.","revision decisions | study regulation | criteria internalization","classroom | higher education | adaptive software","Explicit criteria and exemplars | A subsequent chance to act on the judgment | No grading consequence attached","Self-assessment accuracy is generally poor without criteria and training | Summative self-grading invites distortion | Confidence and accuracy are different things","Self-rated mastery gating progression | Self-grades used for marks | Assuming accuracy improves without feedback","Accuracy against an external standard, and subsequent action; measure=Self-rating compared with criterion-based external scoring plus the revision made; timing=Each cycle; caveat=Improving self-ratings can reflect leniency drift, not learning","strong","moderate","Systematic review finds positive effects on self-regulated learning and achievement when self-assessment is formative and criteria-based.","direct-intervention","Broad; effects depend on formative framing and training.","","candidate-default-with-fit-check","Use formatively with criteria and always calibrate against an external measure.","source:panadero-self-assessment | source:dunlosky-rawson-overconfidence | source:nicol-macfarlane","","tactic | metacognition | assessment | self-regulation","new"
"pedagogy:self-determination-theory","Self-determination theory","theory","established","motivational-social","general | professional-workplace","cross-lifespan","motivate | climate","unit-course","Motivation varies in quality, not just amount; support for autonomy, competence, and relatedness produces more autonomous motivation and better persistence and wellbeing.","Contexts that satisfy the three basic needs allow externally prompted behaviour to be internalized rather than merely complied with.","sustaining effort | voluntary practice | course and workplace design","classroom | workplace learning | adaptive software | coaching","Real choice within a structured task | Attainable competence signals | A relational context","Autonomy support is not absence of structure | Need satisfaction is measured by self-report with the usual limits | Achievement effects are smaller and less consistent than motivation effects","Offering trivial choices as autonomy | Using controlling rewards while claiming need support | Assuming enjoyment implies learning","Autonomous motivation and persistence; measure=Validated need-satisfaction and motivation measures plus voluntary persistence and achievement, reported separately; timing=Across a term; caveat=Motivation gains do not automatically produce achievement gains","strong","high","Large theoretical and intervention literature, with a recent meta-analysis of SDT-based interventions.","mixed-direct-and-inferential","Cross-cultural support with debate about relative need weighting across cultures.","","candidate-default-with-fit-check","Design for need support as a climate condition; measure achievement separately from motivation.","source:ryan-deci-sdt | source:motivation-meta | source:hpl2","","theory | motivation | climate | agency","new"
"pedagogy:self-efficacy","Self-efficacy","construct","established","motivational-social","general","primary | middle | secondary | postsecondary | adult-workplace","motivate | diagnose","micro-move","A learner's belief about their capability on a specific task predicts effort, persistence, and performance, and is built mainly by mastery experience.","Mastery experiences, credible vicarious models, specific feedback, and physiological state combine into a task-specific judgment that governs effort allocation.","persistence prediction | confidence building | recovery after failure","classroom | coaching | workplace learning | adaptive software","Task-specific measurement, not global confidence | Genuine opportunities for mastery experience","It is task-specific and does not transfer as a trait | The correlation with achievement is moderate, and causality runs in both directions | Encouragement without mastery experience does not durably raise it","Measuring generalized self-esteem instead of task self-efficacy | Inflating confidence beyond competence, which damages calibration | Treating it as a fixed learner attribute","Calibrated task confidence; measure=Task-specific efficacy ratings compared against actual performance; timing=Before and after task attempts; caveat=Overconfidence is itself a risk, not a success","strong","moderate","Foundational theory plus meta-analysis showing a moderate correlation with academic performance.","mixed-direct-and-inferential","Broad; effect sizes moderate and correlational.","metric=r; value=0.33; note=Meta-analytic correlation with academic performance in higher education.","contextual-option","Build through mastery experience and specific feedback; measure per task and watch calibration, not just level.","source:bandura-self-efficacy | source:honicke-broadbent","","construct | motivation | measurement | learner-evidence","new"
"pedagogy:self-explanation","Self-explanation and deep explanatory questioning","tactic","established","cognitive","general","primary | middle | secondary | postsecondary","explain | consolidate","micro-move","Ask learners to explain why a fact, step, representation, or causal link makes sense and how it connects to prior knowledge.","Generating explanations exposes gaps, integrates new information with schemas, and makes relations available for inference.","concept integration | worked-example study | causal reasoning","individual reflection | peer explanation | guided questioning","Sufficient domain knowledge to generate a meaningful explanation | A prompt aimed at a consequential relation","Provide feedback or models when explanations can entrench misconceptions | Avoid generic why prompts for every step","Fluent but incorrect explanations | Prompt overload | Scoring verbosity rather than conceptual relations","Integrated and revisable explanation; measure=Presence and correctness of causal, structural, or principle-based links plus transfer; timing=During learning and on a novel application; caveat=Longer explanations are not necessarily better","context-dependent","moderate","Evidence-rated guidance supports deep explanatory questions; effectiveness depends on knowledge, prompt, and feedback.","mixed-direct-and-inferential","Broad mechanism with domain-specific implementation.","","contextual-option","Retrieve when explanation quality can be observed and corrected.","source:ies-study | source:icap | source:hpl2","","general | elaboration | explanation | reasoning","inherited"
"pedagogy:self-regulation-in-open-online-learning","Self-regulation demands of open online learning","construct","established","motivational-social | instructional-design","digital-environments | professional-workplace","postsecondary | adult-workplace | older-adult","self-regulate | access","program-system","Open online courses show very low completion and serve already-advantaged learners disproportionately; success depends heavily on self-regulatory capability the format assumes.","Removing schedule, cohort, and accountability structures shifts the entire regulatory burden onto the learner, which favours those who already have those skills.","open course design | workforce upskilling | access planning","online platforms | workplace learning | continuing education","Explicit regulatory supports if broad access is the goal | Realistic outcome definitions beyond completion","Completion is a poor and often misleading metric | Participation skews toward the already-educated | Self-regulation interventions in these settings show mixed results","Claiming democratized access without checking who participates | Reading non-completion as learner failure | Designing for the self-regulated minority","Who participates and what they achieve; measure=Participation and achievement disaggregated by prior education, plus goal-relative rather than completion-relative outcomes; timing=Across cohorts; caveat=Completion rate conflates intent with capability","strong","high","Large-scale platform analyses show persistent low completion and advantaged participation; experimental self-regulation supports show modest and mixed effects.","mixed-direct-and-inferential","Open online platforms; less applicable to supported cohort programmes.","","contextual-option","Build regulatory structure into the design and report participation equity, not just completion.","source:reich-mooc | source:kizilcec-mooc-srl | source:bernard-distance","","construct | digital | adult | equity","new"
"pedagogy:simple-view-of-reading","Simple view of reading","theory","established","cognitive","literacy | multilingual | special-education","preschool | primary | middle | secondary","diagnose | sequence","unit-course","Reading comprehension is the product of word recognition and language comprehension, so a failure in either component produces reading failure for different reasons.","Because the relation is multiplicative, a near-zero value on either component collapses comprehension regardless of the other, which makes component diagnosis essential.","reading difficulty diagnosis | intervention targeting | curriculum balance","classroom | intervention | assessment","Separate measurement of decoding and language comprehension","It is a framework for diagnosis, not a full account of skilled reading | Component weighting changes with age and orthography | Multilingual learners require language-of-assessment care","Reducing reading instruction to decoding alone | Assessing comprehension without checking decoding | Diagnosing a language difference as a reading disability","Component profile; measure=Independent decoding (including pseudowords) and oral language comprehension measures; timing=At referral and periodically; caveat=A single comprehension score cannot identify which component failed","strong","high","A durable framework supported by decades of component-skill research and endorsed in major evidence syntheses of reading.","mixed-direct-and-inferential","Broad across alphabetic orthographies; weighting varies by language and age.","","candidate-default-with-fit-check","Always diagnose the two components separately before choosing a reading intervention.","source:hoover-gough-svr | source:castles-reading-wars | source:literacy-wwc","","theory | literacy | diagnostic | reading","new"
"pedagogy:simulation-based-mastery-learning","Simulation-based mastery learning in clinical skills","method","established","behavioral | instructional-design","health | professional-workplace","postsecondary | adult-workplace","practice | feedback | assess","program-system","Simulation training with a mastery criterion, deliberate practice, and feedback produces large skill gains and, in several studies, better patient outcomes.","Repeated practice against an explicit performance standard with immediate feedback continues until the standard is met, removing the variability of time-based training.","procedural skill training | clinical competence | certification","clinical simulation | professional education","A validated performance checklist and mastery standard | Simulation fidelity adequate to the skill | Unlimited practice time to reach the standard","Requires substantial faculty and equipment resources | Checklist validity determines what mastery means | Fidelity needs vary by skill; higher is not always better","Checklist compliance substituting for clinical judgment | Declaring mastery on a weak standard | Assuming simulation performance transfers without patient-level evidence","Mastery attainment and downstream transfer; measure=Checklist performance to criterion plus workplace or patient outcome measures; timing=At certification and after; caveat=Simulation competence is not automatically clinical competence","strong","high","Meta-analyses of simulation-based mastery learning and of technology-enhanced simulation report large skill effects and, in a subset, patient-outcome benefits.","direct-intervention","Health professions education; strongest for procedural skills.","metric=d; note=Large effects on skills outcomes; smaller and less consistent for patient outcomes.","candidate-default-with-fit-check","The strongest adult-domain instance of mastery learning; require a validated standard and workplace-level follow-up.","source:mcgaghie-simulation | source:cook-simulation-jama | source:kulik-mastery","","method | health | adult | assessment","new"
"pedagogy:simulations-virtual-labs","Computer simulations and virtual laboratories","method","established","constructivist | cognitive","science | engineering-design | mathematics | digital-environments","middle | secondary | postsecondary","explain | practice | transfer","lesson","Simulations support conceptual learning when combined with guidance, and can equal or exceed physical labs for concept-focused goals.","Learners can manipulate variables, see otherwise invisible relationships, and run many trials quickly, provided assignments constrain what they attend to.","variable relationships | model exploration | experiment design","laboratory | classroom | adaptive software | home learning","Assignments and prompts that direct attention | Prior knowledge of the represented variables | Debriefing that links the simulation to the concept","Unguided simulation use produces weak results | A simulation is a model, and its simplifications teach too | Physical manipulation goals are not substituted","Treating the simulation as self-teaching | Learners inferring the model's artefacts as physical facts | Replacing hands-on skills that the curriculum requires","Concept gain plus model awareness; measure=Conceptual pre-post, prediction tasks, and questions about model limits; timing=During and after the sequence; caveat=Fluent simulation manipulation can mask conceptual confusion","context-dependent","moderate","Reviews find simulations generally beneficial for conceptual outcomes when supported by guidance, with comparisons to physical labs favouring neither uniformly.","direct-intervention","Science and engineering topics with clear variable structure.","","contextual-option","Use with directed assignments and debriefing; state explicitly what the model omits.","source:dejong-simulations | source:rutten-simulations | source:science-framework","","method | science | digital | inquiry","new"
"pedagogy:sleep-and-consolidation","Sleep and memory consolidation","construct","established","neuroscience | developmental","general | health","cross-lifespan","consolidate | climate","program-system","Sleep actively consolidates newly learned material, and insufficient sleep degrades attention, learning, and wellbeing, particularly in adolescents.","Post-learning sleep stabilizes and reorganizes memory traces; sleep restriction also impairs the attention and regulation that learning depends on.","study scheduling | school timetable policy | wellbeing","home learning | school systems | study strategies","Opportunity for adequate sleep, which is often a structural not individual matter","Adolescent circadian phase shift makes early start times biologically costly | School start time change is a system decision with logistical costs | Consolidation research is largely laboratory-based","Framing sleep as purely a personal discipline issue | All-night study normalized as commitment | Ignoring the equity dimension of household and work constraints","Retention and attention as a function of sleep; measure=Sleep duration and timing records alongside delayed retention and attention measures; timing=Across days and weeks; caveat=Self-reported sleep is systematically over-estimated","strong","high","Robust experimental evidence on sleep-dependent consolidation plus systematic review and public-health recommendations on adolescent school start times.","mixed-direct-and-inferential","Broad; start-time evidence is strongest for adolescents.","","candidate-default-with-fit-check","Treat sleep as a structural condition for learning; schedule practice and testing accordingly rather than moralizing.","source:diekelmann-born-sleep | source:wheaton-school-start | source:adolescent-nasem","","construct | development | consolidation | wellbeing","new"
"pedagogy:social-emotional-learning","Social and emotional learning programmes","method","established","motivational-social | developmental","general","preschool | primary | middle | secondary","climate | self-regulate | motivate","program-system","Well-implemented SEL programmes improve social-emotional skills, attitudes, behaviour, and academic performance, with effects persisting at follow-up.","Explicit, sequenced, active, focused, and explicit skill instruction plus a supportive climate builds regulation and relationship skills that also support academic engagement.","behaviour and wellbeing | school climate | academic engagement","classroom | school systems | preschool","Sequenced, active, focused, explicit design | Implementation fidelity and staff training | Whole-school reinforcement","Implementation quality drives results; poorly implemented programmes show little | Academic effects are smaller than social-emotional ones | Outcome measures are often self- or teacher-report","Bolt-on lessons without climate change | Using SEL to manage compliance rather than support development | Culturally mismatched norms of appropriate emotion","Skill, behaviour, and academic outcomes separately; measure=Multi-informant skill and behaviour measures plus independent academic outcomes and fidelity data; timing=Post-programme and at follow-up; caveat=Self-report gains can exceed observed behaviour change","strong","high","Large meta-analyses of universal school-based programmes with significant post-test effects and follow-up meta-analysis showing persistence.","direct-intervention","Broad across ages and settings when implementation conditions are met.","metric=d; value=0.27; note=Academic performance effect at post-test; social-emotional skill effects are larger, around 0.57.","candidate-default-with-fit-check","Well-evidenced when the design is sequenced, active, focused, and explicit and implementation is monitored.","source:durlak-sel | source:taylor-sel-followup | source:casel","","method | climate | development | wellbeing","new"
"pedagogy:sociocultural-zpd","Sociocultural theory and the zone of proximal development","theory","established","sociocultural | developmental","general","cross-lifespan","explain | collaborate | sequence","lesson","Higher-order thinking develops first in social interaction and then internally, so the productive teaching zone is what a learner can do with support but not yet alone.","Joint activity with a more capable partner makes reasoning public; language and cultural tools mediate it, and responsibility transfers to the learner over time.","guided problem solving | concept development | apprenticeship","one-to-one | small group | classroom | tutoring","A partner with relevant expertise | Shared task and language access | Room for the learner to act","The zone is task-specific and moves as knowledge changes | It is not a fixed learner property or a score | Cultural context shapes what counts as competent participation","Turning ZPD into a static learner label or level | Using it to justify indefinite assistance | Assuming any group work is developmentally productive","Transfer of responsibility; measure=Comparison of assisted and unassisted performance on the same task; timing=Across a sequence of attempts; caveat=Support-visible success is not independent competence","context-dependent","moderate","Foundational and widely used theory; consensus syntheses endorse its account of social and cultural mediation, while its specific instructional predictions are tested through scaffolding research.","mixed-direct-and-inferential","Broad, but operationalization varies enormously across studies.","","contextual-option","Use to frame where support should sit; measure the transfer of responsibility rather than asserting the zone.","source:hpl2 | source:scaffolding-review","","theory | scaffolding | sociocultural","new"
"pedagogy:socioeconomic-context","Socioeconomic context and opportunity","construct","established","critical-equity | developmental","general","cross-lifespan","diagnose | access | climate","program-system","Socioeconomic status is moderately associated with achievement, operates through opportunity and resources rather than capability, and specific interventions can narrow gaps.","Material resources, instructional quality, out-of-school opportunity, and stability shape cumulative exposure to learning opportunities.","equity analysis | intervention targeting | resource allocation","school systems | programme evaluation | policy","Disaggregated outcome data | Interventions that address opportunity, not deficits","Association is at group level and says nothing about an individual | Aggregated school-level measures show larger associations than individual ones | It is a condition to address, not a learner attribute to encode","Using SES to lower expectations or route to easier content | Encoding proxies for SES into an adaptive model | Deficit framing of families and communities","Disaggregated growth under targeted support; measure=Outcome and opportunity-to-learn measures disaggregated by group; timing=Termly and annually; caveat=Group averages must never drive individual routing","strong","high","Large meta-analytic evidence for the association plus meta-analytic evidence that specific academic interventions improve outcomes for low-SES learners.","mixed-direct-and-inferential","Broad; the association is correlational and mediated.","metric=r; value=0.3; note=Typical individual-level association; school-aggregated measures are considerably higher.","do-not-generalize","Use for targeting resources and auditing equity; never as an input to individual difficulty or expectation decisions.","source:sirin-ses-meta | source:dietrichson-low-ses | source:hpl2","","construct | equity | access | warning","new"
"pedagogy:spaced-repetition-scheduling","Algorithmic spaced repetition","tactic","established","cognitive | behavioral","general | world-language | health | professional-workplace","secondary | postsecondary | adult-workplace","practice | consolidate","micro-move","Software that schedules review by predicted forgetting sustains retention of large item sets efficiently, including for busy professionals.","Reviews are placed near the point of forgetting, combining spacing and retrieval so each review yields maximum retention gain per minute.","vocabulary | terminology | facts and classifications | recertification","adaptive software | flashcards | workplace recertification","Well-formed atomic items | Initial understanding before memorization | Sustained access over time","Optimal gap depends on the retention horizon | Item quality dominates algorithm choice | It builds recall, not application or judgment","Memorizing items that were never understood | Endless review backlogs causing abandonment | Treating fact recall as the whole curriculum","Retention per review minute; measure=Delayed recall plus review-time logs and lapse rate; timing=Across weeks and months; caveat=In-app accuracy is inflated by recent scheduling","strong","high","Spacing meta-analysis plus randomized trials of spaced education in professional settings show durable retention advantages.","direct-intervention","Strong for well-formed recall items; not evidence for complex reasoning outcomes.","","candidate-default-with-fit-check","Default for durable factual and terminological knowledge; pair with application practice for anything more.","source:spacing-meta | source:kerfoot-spaced-education | source:dunlosky-techniques","","tactic | spacing | memory | digital","new"
"pedagogy:spacing","Spacing / distributed practice","tactic","established","cognitive","general","primary | middle | secondary | postsecondary | adult-workplace","practice | consolidate","micro-move","Distribute repeated encounters over time rather than massing them in one session.","Later encounters require reminding or retrieval and occur in varied temporal contexts, slowing forgetting.","retention | skill maintenance | relearning","curriculum scheduling | practice systems | workplace recertification","Multiple encounters | A target retention horizon","Gap choice depends on desired retention interval and difficulty | Too-long gaps can produce retrieval failure","Treating one schedule as optimal for every item | Assuming expanding gaps are always superior","Slower forgetting and efficient relearning; measure=Delayed retention curve and relearning savings; timing=Across multiple delays; caveat=In-session difficulty can increase even while long-term retention improves","strong","high","Large quantitative synthesis and evidence-rated institutional guidance.","direct-intervention","Broad for retention; exact schedules are context-dependent.","","candidate-default-with-fit-check","Build revisits into curricula and tools, then adapt intervals to retention evidence.","source:spacing-meta | source:ies-study | source:hpl2","","general | memory | schedule | retention","inherited"
"pedagogy:spatial-skills-training","Spatial skills training","tactic","consolidating","cognitive | developmental","mathematics | science | engineering-design","preschool | primary | middle | secondary | postsecondary","practice | transfer","lesson","Spatial skills are malleable and improve with training, with durable and transferable gains within the spatial domain; academic transfer to STEM is less established.","Practice with spatial transformations builds representations and strategies that apply to structurally similar spatial tasks.","mental rotation | diagram interpretation | STEM preparation","classroom | block play | digital tools | intervention","Structured spatial tasks with feedback | Sufficient practice duration","Transfer is reliable within spatial tasks; academic transfer is weaker evidence | Effects are demonstrated across ages but vary by training type | Gains do not automatically appear in mathematics scores","Selling spatial training as a STEM achievement intervention | Displacing domain instruction | Assuming gender gaps are fixed rather than trainable","Spatial gain and any academic transfer, separately; measure=Spatial task battery plus independent domain outcome measures; timing=After training and at delay; caveat=Spatial gains are real without implying STEM gains","context-dependent","moderate","A large meta-analysis establishes malleability, durability, and transfer within the spatial domain; academic transfer claims are weaker.","direct-intervention","Broad across ages and training types for spatial outcomes.","metric=g; value=0.47; note=Average training effect on spatial outcomes.","contextual-option","Worthwhile for spatial goals and diagram-heavy domains; do not promise STEM achievement gains.","source:uttal-spatial-training | source:goldin-meadow-gesture","","tactic | mathematics | science | transfer","new"
"pedagogy:stereotype-threat","Stereotype threat","construct","disputed","motivational-social | critical-equity","general | assessment-measurement","secondary | postsecondary | adult-workplace","climate | assess","micro-move","Situational cues that make a negative group stereotype relevant can depress performance, though effect sizes in school settings are small and publication bias is evident.","Concern about confirming a stereotype consumes working memory and shifts monitoring away from the task.","high-stakes testing conditions | evaluative settings","assessment | classroom | selection","A relevant stereotype and an evaluative framing","Meta-analytic estimates in operational school settings are small and heterogeneous | Evidence of publication bias and failed replications is substantial | It does not explain group achievement gaps by itself","Using it as a complete explanation for disparities | Ignoring it entirely because of replication concerns | Interventions applied where no threat cue exists","Performance change under altered framing; measure=Randomized framing manipulations with adequate power and preregistration; timing=During assessment; caveat=Small underpowered studies dominate the older literature","contested","moderate","The original demonstrations are influential, but meta-analysis of school-age samples finds small effects with clear indications of publication bias.","direct-intervention","Laboratory demonstrations are stronger than operational-setting evidence.","","do-not-generalize","Reduce gratuitous identity cues in assessment as cheap good practice; do not build explanations of achievement gaps on this construct.","source:steele-aronson | source:flore-stereotype-meta","","construct | contested | equity | assessment","new"
"pedagogy:structured-collaboration","Structured cooperative and collaborative learning","tactic","established","sociocultural","general","primary | middle | secondary | postsecondary","collaborate | practice","lesson","Design interdependent tasks with individual accountability, equitable participation, explanation, and group-process reflection.","Peer explanation, questioning, critique, and shared problem solving can deepen elaboration and reveal differences in understanding.","multiple-perspective problem | joint explanation | peer review","small group | project team | workplace learning","A genuinely interdependent task | Explicit roles or norms | Individual evidence of learning | Teacher or facilitator monitoring","Group size must permit participation | Assess both group process and individual outcomes","Social loafing | Status domination | One learner doing all reasoning | Group product masking individual nonlearning","Equitable substantive participation and individual learning; measure=Turn/idea distribution, explanation quality, peer uptake, identifiable contributions, and individual transfer; timing=During collaboration and after group support is removed; caveat=A polished group artifact is not evidence that every member learned","context-dependent","moderate","Classroom meta-analysis finds positive average achievement and attitude effects with substantial implementation heterogeneity.","direct-intervention","Across school and higher education when structures create accountability and productive interaction.","","contextual-option","Use when the task benefits from distributed perspectives and individual learning remains observable.","source:collaboration-meta | source:icap","","collaboration | explanation | accountability | equity","inherited"
"pedagogy:study-skills-programs","Study-skills and learning-strategy programmes","method","established","cognitive | instructional-design","general","secondary | postsecondary | adult-workplace","self-regulate | transfer","unit-course","Strategy training works best when taught in context with the content it applies to, and worst when delivered as a detached generic course.","Strategies are conditional knowledge: learners need to know when and where to apply them, which only the domain context supplies.","study strategy development | transition support | academic recovery","higher education | secondary classroom | coaching","A content course the strategies are practised inside | Metacognitive framing of when to use each strategy | Follow-up practice","Generic detached programmes transfer poorly | Learners revert to familiar strategies under time pressure | Self-reported strategy use is unreliable","Running a standalone workshop and expecting change | Teaching low-utility strategies such as highlighting | Measuring satisfaction rather than strategy change","Actual strategy change in course work; measure=Observed or logged study behaviour plus performance, not self-report alone; timing=Across a term; caveat=Self-reported strategy use overstates actual change","strong","moderate","Meta-analysis of study-skills interventions finds effects depend on contextualization; near-transfer within the taught context is the reliable result.","direct-intervention","Secondary and higher education.","","contextual-option","Embed strategy instruction inside a real course and teach the conditions of use, not the strategy list.","source:hattie-study-skills | source:dunlosky-techniques | source:dignath-buttner","","method | self-regulation | strategy | transfer","new"
